id,name,verdict,language,runtime,rank,date_of_submit
574,Sum It Up,Accepted,Java,0.169,3044,2015-12-24 21:47
574,Sum It Up,Compile error,Java,0.000,-,2015-12-24 21:39
11549,Calculator Conundrum,Accepted,Java,2.588,899,2015-12-22 19:01
11148,Moliu Fractions,Accepted,Java,0.086,266,2015-12-22 15:34
11148,Moliu Fractions,Wrong answer,Java,0.066,-,2015-12-22 15:32
11148,Moliu Fractions,Wrong answer,Java,0.046,-,2015-12-22 15:32
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:31
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:25
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:18
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:16
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:15
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 15:14
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 14:49
11148,Moliu Fractions,Compile error,Java,0.000,-,2015-12-22 14:46
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 14:45
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-22 14:44
11148,Moliu Fractions,Compile error,Java,0.000,-,2015-12-22 14:43
10167,Birthday Cake,Wrong answer,C++11,0.203,-,2015-12-20 22:02
10167,Birthday Cake,Wrong answer,C++11,0.223,-,2015-12-20 21:58
10908,Largest Square,Accepted,C++11,0.000,79,2015-12-20 12:38
628,Passwords,Accepted,C++11,0.209,786,2015-12-19 13:18
253,Cube painting,Accepted,C++11,0.000,874,2015-12-19 10:35
12988,Sudoku,Accepted,C++11,0.000,26,2015-12-19 00:12
11148,Moliu Fractions,Runtime error,Java,0.000,-,2015-12-14 19:43
10014,Simple calculations,Wrong answer,C++11,0.003,-,2015-11-08 00:08
10014,Simple calculations,Wrong answer,C++11,0.000,-,2015-11-08 00:05
10014,Simple calculations,Wrong answer,C++11,0.000,-,2015-11-08 00:04
10014,Simple calculations,Wrong answer,C++11,0.000,-,2015-11-08 00:02
11526,H(n),Wrong answer,C++,0.145,-,2015-07-06 22:54
10736,Series of PI,Accepted,C++,0.008,3,2015-07-03 04:04
10736,Series of PI,Compile error,ANSI C,0.000,-,2015-07-03 04:04
10736,Series of PI,Accepted,C++,0.009,4,2015-07-03 04:03
967,Circular,Accepted,ANSI C,0.114,58,2015-07-02 23:52
967,Circular,Runtime error,ANSI C,0.000,-,2015-07-02 23:51
10484,Divisibility of Factors,Wrong answer,C++,0.006,-,2015-07-02 23:50
11718,Fantasy of a Summation,Accepted,ANSI C,0.008,27,2015-07-02 23:48
10742,The New Rule in Euphomia,Accepted,C++,0.011,2,2015-07-02 23:47
10742,The New Rule in Euphomia,Accepted,C++,0.011,1,2015-07-02 23:46
12620,Fibonacci Sum,Accepted,ANSI C,0.008,37,2015-07-02 23:43
10170,The Hotel with Infinite Rooms,Accepted,C++,0.004,27,2015-07-02 23:42
10170,The Hotel with Infinite Rooms,Compile error,ANSI C,0.000,-,2015-07-02 23:41
12439,February 29,Accepted,ANSI C,0.000,8,2015-07-02 23:40
12090,Counting Zeroes,Accepted,C++,0.191,10,2015-07-02 23:39
11436,Cubes - EXTREME!!!,Accepted,C++,0.537,101,2015-07-02 23:35
10634,Say NO to Memorization,Wrong answer,C++,0.000,-,2015-07-02 23:33
10736,Series of PI,Compile error,ANSI C,0.000,-,2015-07-02 23:32
10634,Say NO to Memorization,Accepted,ANSI C,0.011,3,2015-07-02 23:32
10634,Say NO to Memorization,Accepted,ANSI C,0.012,3,2015-07-02 23:32
10634,Say NO to Memorization,Accepted,ANSI C,0.011,2,2015-07-02 23:31
11342,Three-square,Accepted,ANSI C,0.007,16,2015-07-02 23:29
11342,Three-square,Accepted,ANSI C,0.006,10,2015-07-02 23:29
11342,Three-square,Accepted,ANSI C,0.007,16,2015-07-02 23:28
11342,Three-square,Accepted,ANSI C,0.008,17,2015-07-02 23:27
12300,Smallest Regular Polygon,Accepted,C++,0.000,3,2015-06-27 15:48
11997,K Smallest Sums,Wrong answer,C++11,0.434,-,2015-06-26 16:26
11997,K Smallest Sums,Wrong answer,C++11,0.491,-,2015-06-26 16:25
11997,K Smallest Sums,Wrong answer,C++11,0.389,-,2015-06-26 16:15
10174,Couple-Bachelor-Spinster Numbers.,Accepted,C++,0.002,256,2015-06-20 12:53
10174,Couple-Bachelor-Spinster Numbers.,Wrong answer,C++11,0.002,-,2015-06-20 12:45
10174,Couple-Bachelor-Spinster Numbers.,Wrong answer,C++,0.002,-,2015-06-20 12:40
10174,Couple-Bachelor-Spinster Numbers.,Compile error,C++,0.000,-,2015-06-20 12:39
11526,H(n),Accepted,C++,0.158,422,2015-06-20 10:52
11526,H(n),Wrong answer,C++,0.145,-,2015-06-20 10:37
11242,Tour de France,Accepted,C++11,0.009,717,2015-03-05 22:28
10730,Antiarithmetic?,Accepted,C++11,0.082,474,2015-02-23 23:55
10730,Antiarithmetic?,Wrong answer,C++11,0.028,-,2015-02-23 23:51
10730,Antiarithmetic?,Compile error,C++11,0.000,-,2015-02-23 23:50
12869,Zeroes,Accepted,ANSI C,0.092,82,2015-02-22 10:19
12869,Zeroes,Runtime error,ANSI C,0.000,-,2015-02-22 10:18
12869,Zeroes,Accepted,C++11,0.262,119,2015-02-22 09:59
12869,Zeroes,Wrong answer,C++11,0.259,-,2015-02-22 09:41
12893,Count It,Accepted,C++11,0.029,271,2015-02-20 14:18
12893,Count It,Accepted,C++11,0.025,262,2015-02-20 12:31
11384,Help is needed for Dexter,Accepted,C++11,0.312,1056,2014-11-11 15:15
